example_id                                                            | status | run_time        |
./spec/contest_instance/contest_instance_policy_spec.rb[1:3:7:1:1]    | passed | 0.0174 seconds  |
./spec/contest_instance/contest_instance_policy_spec.rb[1:3:7:2:1]    | passed | 0.01741 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:4:1]        | passed | 0.01338 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:4:2]        | passed | 0.01307 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:4:3]        | passed | 0.01344 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:4:4]        | passed | 0.0137 seconds  |
./spec/contest_instance/contest_instance_policy_spec.rb[1:4:5]        | passed | 0.01382 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:4:6]        | passed | 0.01349 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:4:7:1]      | passed | 0.01885 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:5:1]        | passed | 0.0109 seconds  |
./spec/contest_instance/contest_instance_policy_spec.rb[1:5:2]        | passed | 0.01173 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:5:3]        | passed | 0.01087 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:5:4]        | passed | 0.01091 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:5:5]        | passed | 0.01116 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:5:6]        | passed | 0.01046 seconds |
./spec/contest_instance/contest_instance_policy_spec.rb[1:5:7:1]      | passed | 0.01027 seconds |
./spec/controllers/applicant_dashboard_controller_spec.rb[1:1:1:1]    | passed | 0.00532 seconds |
./spec/controllers/entry_rankings_controller_spec.rb[1:1:1:1:1]       | passed | 0.04671 seconds |
./spec/controllers/entry_rankings_controller_spec.rb[1:1:1:2:1:1]     | passed | 0.04524 seconds |
./spec/controllers/entry_rankings_controller_spec.rb[1:1:1:2:1:2]     | passed | 0.05814 seconds |
./spec/controllers/entry_rankings_controller_spec.rb[1:1:1:3:1:1]     | passed | 0.04778 seconds |
./spec/controllers/entry_rankings_controller_spec.rb[1:1:1:3:1:2]     | passed | 0.0643 seconds  |
./spec/controllers/entry_rankings_controller_spec.rb[1:1:2:1]         | passed | 0.03841 seconds |
./spec/controllers/entry_rankings_controller_spec.rb[1:2:1:1:1]       | passed | 0.04166 seconds |
./spec/controllers/entry_rankings_controller_spec.rb[1:2:1:2:1:1]     | passed | 0.0408 seconds  |
./spec/controllers/entry_rankings_controller_spec.rb[1:2:1:2:1:2]     | passed | 0.04715 seconds |
./spec/controllers/entry_rankings_controller_spec.rb[1:2:2:1]         | passed | 0.04001 seconds |
./spec/controllers/judging_assignments_controller_spec.rb[1:1:1:1:1]  | passed | 0.02657 seconds |
./spec/controllers/judging_assignments_controller_spec.rb[1:1:1:1:2]  | passed | 0.02205 seconds |
./spec/controllers/judging_assignments_controller_spec.rb[1:1:1:1:3]  | passed | 0.02266 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:1:1:1]         | passed | 0.02231 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:1:1:2:1]       | passed | 0.02056 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:1:1:3:1]       | passed | 0.01995 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:1:2:1]         | passed | 0.0243 seconds  |
./spec/controllers/judging_rounds_controller_spec.rb[1:2:1:1:1]       | passed | 0.02747 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:2:1:1:2]       | passed | 0.02575 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:2:1:2:1:1]     | passed | 0.02391 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:2:1:2:2:1]     | passed | 0.02701 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:2:1:3:1]       | passed | 0.02356 seconds |
./spec/controllers/judging_rounds_controller_spec.rb[1:2:1:3:2]       | passed | 0.0241 seconds  |
./spec/controllers/judging_rounds_controller_spec.rb[1:2:2:1]         | passed | 0.0314 seconds  |
./spec/features/editable_content_link_spec.rb[1:1:1]                  | passed | 0.02267 seconds |
./spec/features/editable_content_link_spec.rb[1:1:2]                  | passed | 0.01272 seconds |
./spec/features/editable_content_link_spec.rb[1:2:1]                  | passed | 0.01081 seconds |
./spec/features/editable_content_link_spec.rb[1:2:2]                  | passed | 0.01155 seconds |
./spec/features/editable_content_link_spec.rb[1:3:1]                  | passed | 0.00876 seconds |
./spec/features/editable_content_link_spec.rb[1:3:2]                  | passed | 0.00844 seconds |
./spec/helpers/judging_assignments_helper_spec.rb[1:1:1:1]            | passed | 0.00126 seconds |
./spec/helpers/judging_assignments_helper_spec.rb[1:1:1:2]            | passed | 0.00146 seconds |
./spec/helpers/judging_assignments_helper_spec.rb[1:1:1:3]            | passed | 0.00315 seconds |
./spec/helpers/judging_assignments_helper_spec.rb[1:1:2:1]            | passed | 0.0014 seconds  |
./spec/helpers/judging_assignments_helper_spec.rb[1:1:2:2]            | passed | 0.0006 seconds  |
./spec/models/address_spec.rb[1:1]                                    | passed | 0.00136 seconds |
./spec/models/address_spec.rb[1:2]                                    | passed | 0.0013 seconds  |
./spec/models/address_spec.rb[1:3]                                    | passed | 0.00131 seconds |
./spec/models/address_spec.rb[1:4]                                    | passed | 0.00208 seconds |
./spec/models/address_spec.rb[1:5]                                    | passed | 0.00104 seconds |
./spec/models/address_spec.rb[1:6]                                    | passed | 0.00126 seconds |
./spec/models/address_spec.rb[1:7]                                    | passed | 0.00123 seconds |
./spec/models/address_type_spec.rb[1:1]                               | passed | 0.00143 seconds |
./spec/models/address_type_spec.rb[1:2]                               | passed | 0.0012 seconds  |
./spec/models/address_type_spec.rb[1:3]                               | passed | 0.00692 seconds |
./spec/models/affiliation_spec.rb[1:1:1]                              | passed | 0.00378 seconds |
./spec/models/affiliation_spec.rb[1:1:2]                              | passed | 0.00378 seconds |
./spec/models/affiliation_spec.rb[1:1:3]                              | passed | 0.0002 seconds  |
./spec/models/affiliation_spec.rb[1:2:1]                              | passed | 0.00017 seconds |
./spec/models/affiliation_spec.rb[1:3:1]                              | passed | 0.00013 seconds |
./spec/models/affiliation_spec.rb[1:3:2]                              | passed | 0.00012 seconds |
./spec/models/campus_spec.rb[1:1:1]                                   | passed | 0.00099 seconds |
./spec/models/campus_spec.rb[1:1:2]                                   | passed | 0.0014 seconds  |
./spec/models/campus_spec.rb[1:1:3]                                   | passed | 0.00107 seconds |
./spec/models/campus_spec.rb[1:1:4]                                   | passed | 0.00231 seconds |
./spec/models/campus_spec.rb[1:1:5]                                   | passed | 0.00222 seconds |
./spec/models/campus_spec.rb[1:2:1]                                   | passed | 0.00019 seconds |
./spec/models/campus_spec.rb[1:2:2]                                   | passed | 0.00036 seconds |
./spec/models/category_spec.rb[1:1:1]                                 | passed | 0.00119 seconds |
./spec/models/category_spec.rb[1:2:1]                                 | passed | 0.00011 seconds |
./spec/models/category_spec.rb[1:2:2]                                 | passed | 0.00014 seconds |
./spec/models/category_spec.rb[1:3:1]                                 | passed | 0.00161 seconds |
./spec/models/category_spec.rb[1:3:2]                                 | passed | 0.00078 seconds |
./spec/models/category_spec.rb[1:3:3]                                 | passed | 0.00093 seconds |
./spec/models/class_level_spec.rb[1:1:1]                              | passed | 0.00088 seconds |
./spec/models/class_level_spec.rb[1:1:2]                              | passed | 0.0017 seconds  |
./spec/models/class_level_spec.rb[1:1:3]                              | passed | 0.00083 seconds |
./spec/models/class_level_spec.rb[1:2:1]                              | passed | 0.00082 seconds |
./spec/models/container_spec.rb[1:1:1]                                | passed | 0.00012 seconds |
./spec/models/container_spec.rb[1:1:2]                                | passed | 0.00017 seconds |
./spec/models/container_spec.rb[1:1:3]                                | passed | 0.00012 seconds |
./spec/models/container_spec.rb[1:1:4]                                | passed | 0.00013 seconds |
./spec/models/container_spec.rb[1:1:5]                                | passed | 0.00011 seconds |
./spec/models/container_spec.rb[1:1:6]                                | passed | 0.00012 seconds |
./spec/models/container_spec.rb[1:2:1]                                | passed | 0.00012 seconds |
./spec/models/container_spec.rb[1:2:2]                                | passed | 0.00019 seconds |
./spec/models/container_spec.rb[1:3:1]                                | passed | 0.00102 seconds |
./spec/models/container_spec.rb[1:3:2]                                | passed | 0.00173 seconds |
./spec/models/container_spec.rb[1:3:3]                                | passed | 0.00088 seconds |
./spec/models/container_spec.rb[1:3:4:1]                              | passed | 0.01413 seconds |
./spec/models/container_spec.rb[1:4:1]                                | passed | 0.00154 seconds |
./spec/models/container_spec.rb[1:4:2]                                | passed | 0.00123 seconds |
./spec/models/container_spec.rb[1:5:1]                                | passed | 0.00115 seconds |
./spec/models/container_spec.rb[1:5:2]                                | passed | 0.00117 seconds |
./spec/models/contest_description_spec.rb[1:1:1]                      | passed | 0.00011 seconds |
